Genero,Idoso,Casado,Dependentes,Tempo_como_Cliente,Servico_Telefone,Servico_Internet,Servico_Seguranca,Suporte_Tecnico,StreamingTV,Tipo_Contrato,Metodo_Pagamento,Pagamento_Mensal,Total_Pago,Churn
male,0,0,0,1,1,no,0,0,0,month-to-month,bank transfer (automatic),71.45,20.2,0
male,1,0,0,1,1,dsl,0,0,0,month-to-month,bank transfer (automatic),71.45,45.25,0
female,0,1,1,72,1,fiber optic,1,1,1,two year,bank transfer (automatic),71.45,7251.7,0
male,0,0,0,5,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,316.9,1
female,0,0,0,46,1,fiber optic,0,0,0,month-to-month,credit card (automatic),71.45,3548.3,0
male,0,0,0,34,1,fiber optic,0,0,1,month-to-month,electronic check,71.45,3549.25,1
female,0,0,0,11,1,fiber optic,0,0,1,month-to-month,bank transfer (automatic),71.45,1105.4,1
male,0,1,1,10,1,dsl,0,0,0,one year,mailed check,71.45,475.7,0
female,0,1,1,70,1,dsl,1,0,1,two year,credit card (automatic),71.45,4872.35,0
female,0,1,1,17,1,no,0,0,0,one year,mailed check,71.45,418.25,0
female,0,0,0,63,1,dsl,1,1,1,two year,credit card (automatic),71.45,4861.45,0
female,0,1,0,13,1,dsl,1,1,1,month-to-month,electronic check,71.45,981.45,0
female,0,0,0,49,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,3906.7,0
male,0,0,0,2,1,dsl,0,0,0,month-to-month,mailed check,71.45,97.0,0
female,0,0,0,2,1,fiber optic,0,0,1,month-to-month,electronic check,71.45,144.15,1
male,0,0,0,52,1,dsl,1,1,1,two year,credit card (automatic),71.45,4217.8,0
female,0,1,1,69,1,dsl,1,1,0,two year,credit card (automatic),71.45,4254.1,0
female,1,0,0,43,1,fiber optic,0,0,1,month-to-month,electronic check,71.45,3838.75,0
female,0,0,0,15,1,fiber optic,1,0,1,month-to-month,credit card (automatic),71.45,1426.4,1
female,1,1,0,25,1,dsl,1,1,1,month-to-month,credit card (automatic),71.45,1752.65,0
female,1,1,0,8,1,fiber optic,0,0,0,month-to-month,credit card (automatic),71.45,633.3,1
female,1,1,1,60,1,dsl,1,1,0,one year,credit card (automatic),71.45,4456.35,0
male,1,0,0,18,1,fiber optic,0,0,1,month-to-month,electronic check,71.45,1752.55,1
female,0,1,1,63,1,fiber optic,1,0,1,one year,credit card (automatic),71.45,6311.2,0
male,1,1,1,66,1,fiber optic,0,1,1,one year,electronic check,71.45,7076.35,0
female,0,1,1,34,1,no,0,0,0,two year,credit card (automatic),71.45,894.3,0
female,0,0,0,72,1,fiber optic,0,1,1,two year,credit card (automatic),71.45,7853.7,0
female,0,1,0,47,1,fiber optic,0,0,1,month-to-month,electronic check,71.45,4707.1,0
male,0,0,0,60,1,fiber optic,0,0,1,month-to-month,bank transfer (automatic),71.45,5450.7,0
male,0,1,0,72,0,dsl,1,0,0,two year,bank transfer (automatic),71.45,2962.0,0
female,0,1,1,18,1,dsl,0,1,0,one year,credit card (automatic),71.45,957.1,0
female,0,0,0,9,1,fiber optic,0,0,1,month-to-month,electronic check,71.45,857.25,1
female,0,0,0,3,1,dsl,0,1,1,month-to-month,electronic check,71.45,244.1,0
male,0,1,0,47,1,fiber optic,0,0,0,one year,electronic check,71.45,3650.35,0
female,0,0,0,31,1,dsl,0,1,1,two year,mailed check,71.45,2497.2,0
female,0,1,1,50,1,no,0,0,0,two year,bank transfer (automatic),71.45,930.9,0
male,0,0,0,10,1,fiber optic,1,0,0,month-to-month,mailed check,71.45,887.35,0
male,0,0,0,1,1,dsl,0,1,0,month-to-month,mailed check,71.45,49.05,0
female,0,1,1,52,1,no,0,0,0,one year,electronic check,71.45,1090.65,0
male,1,1,1,64,1,fiber optic,1,1,1,two year,bank transfer (automatic),71.45,7099.0,0
male,0,1,1,62,1,no,0,0,0,two year,bank transfer (automatic),71.45,1424.6,0
female,0,0,1,3,1,dsl,1,1,0,month-to-month,bank transfer (automatic),71.45,177.4,0
female,1,0,0,56,1,fiber optic,1,0,1,one year,electronic check,71.45,6139.5,0
female,0,0,0,46,1,dsl,0,0,0,one year,credit card (automatic),71.45,2688.85,0
female,0,1,1,8,1,dsl,1,0,0,month-to-month,mailed check,71.45,482.25,0
male,1,0,0,30,1,dsl,1,0,1,month-to-month,electronic check,71.45,2111.3,0
female,0,1,1,45,1,no,0,0,0,one year,credit card (automatic),71.45,1216.6,0
female,0,0,1,1,1,fiber optic,0,0,1,month-to-month,electronic check,71.45,79.35,1
female,0,1,1,11,0,dsl,1,0,1,month-to-month,electronic check,71.45,565.35,0
female,0,1,0,7,1,fiber optic,0,0,0,month-to-month,bank transfer (automatic),71.45,496.9,1
female,0,0,0,42,1,fiber optic,0,1,1,month-to-month,bank transfer (automatic),71.45,4327.5,0
female,0,1,0,49,1,no,0,0,0,two year,bank transfer (automatic),71.45,973.35,0
male,0,0,0,9,1,fiber optic,0,0,1,month-to-month,credit card (automatic),71.45,918.75,0
female,0,1,0,35,1,dsl,1,0,1,one year,bank transfer (automatic),71.45,2215.45,0
female,0,1,1,48,1,no,0,0,0,two year,bank transfer (automatic),71.45,1057.0,0
female,0,1,1,46,1,no,0,0,0,two year,mailed check,71.45,927.1,0
male,0,1,0,29,0,dsl,0,0,1,month-to-month,mailed check,71.45,1009.25,0
male,0,1,1,30,1,fiber optic,0,0,0,month-to-month,bank transfer (automatic),71.45,2570.2,0
male,1,0,0,1,1,fiber optic,0,1,0,month-to-month,electronic check,71.45,74.7,0
male,0,1,1,66,1,dsl,1,1,1,two year,mailed check,71.45,5714.25,0
female,0,0,0,65,1,fiber optic,1,0,1,month-to-month,credit card (automatic),71.45,7107.0,0
male,0,0,0,72,1,fiber optic,0,0,1,two year,bank transfer (automatic),71.45,7459.05,0
female,0,0,0,12,1,fiber optic,1,0,0,month-to-month,electronic check,71.45,927.35,1
male,0,1,1,71,1,dsl,1,1,0,one year,credit card (automatic),71.45,4748.7,0
male,0,0,0,5,1,no,0,0,0,month-to-month,mailed check,71.45,113.85,1
male,0,0,0,52,1,no,0,0,0,two year,bank transfer (automatic),71.45,1107.2,0
female,1,1,0,25,1,fiber optic,0,0,1,month-to-month,electronic check,71.45,2514.5,1
male,0,0,0,1,1,no,0,0,0,month-to-month,mailed check,71.45,20.2,0
female,0,1,1,1,1,no,0,0,0,month-to-month,electronic check,71.45,19.45,0
male,0,0,0,38,1,fiber optic,0,1,1,one year,bank transfer (automatic),71.45,3605.6,0
female,1,1,0,66,0,dsl,0,0,1,one year,bank transfer (automatic),71.45,3027.25,0
male,0,1,0,68,1,fiber optic,0,1,1,two year,bank transfer (automatic),71.45,7611.85,1
male,0,0,0,5,0,dsl,0,0,0,month-to-month,mailed check,71.45,100.2,0
female,0,1,1,72,1,fiber optic,1,0,1,one year,electronic check,71.45,7303.05,0
female,0,0,0,32,0,dsl,1,0,0,one year,mailed check,71.45,927.65,0
male,0,0,0,43,1,fiber optic,0,0,1,one year,mailed check,71.45,3921.3,0
male,0,1,1,72,1,no,0,0,0,two year,credit card (automatic),71.45,1363.25,0
male,0,1,0,55,1,fiber optic,1,0,1,month-to-month,electronic check,71.45,5238.9,1
female,0,0,0,52,1,dsl,1,1,0,one year,credit card (automatic),71.45,3042.25,0
female,0,0,0,43,1,fiber optic,0,0,1,month-to-month,electronic check,71.45,3954.1,0
female,1,1,0,37,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,2868.15,1
female,0,1,1,64,0,dsl,0,1,1,two year,electronic check,71.45,3423.5,0
male,0,1,1,3,1,fiber optic,1,0,1,month-to-month,electronic check,71.45,248.4,0
female,0,0,0,36,0,dsl,1,0,0,two year,bank transfer (automatic),71.45,1126.35,0
female,0,1,1,10,1,fiber optic,1,0,1,month-to-month,electronic check,71.45,1064.65,1
female,0,0,0,41,1,no,0,0,0,two year,mailed check,71.45,835.15,0
male,0,1,1,27,1,fiber optic,0,1,0,month-to-month,credit card (automatic),71.45,2151.6,0
female,0,1,1,56,1,fiber optic,0,0,1,one year,credit card (automatic),71.45,5515.45,0
female,0,0,0,6,1,no,0,0,0,month-to-month,mailed check,71.45,112.75,0
male,0,0,0,3,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,229.55,1
female,0,1,1,7,1,dsl,1,0,0,month-to-month,mailed check,71.45,350.35,0
female,0,1,1,4,1,no,0,0,0,month-to-month,mailed check,71.45,62.9,0
male,0,0,0,33,1,fiber optic,1,1,1,two year,electronic check,71.45,3027.65,0
female,1,0,0,27,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,2135.5,1
male,0,1,0,72,1,no,0,0,0,two year,bank transfer (automatic),71.45,1723.95,0
male,0,0,0,1,1,no,0,0,0,month-to-month,mailed check,71.45,19.75,0
male,1,0,0,71,0,dsl,1,0,1,one year,electronic check,71.45,3985.35,0
female,0,0,0,13,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,1215.65,0
female,0,1,1,25,0,dsl,1,0,1,month-to-month,credit card (automatic),71.45,1502.65,1
male,0,0,0,67,1,dsl,0,1,0,two year,bank transfer (automatic),71.45,3260.1,0
male,0,0,0,1,0,dsl,0,0,0,month-to-month,electronic check,71.45,35.45,1
male,0,0,0,2,1,dsl,0,0,0,month-to-month,electronic check,71.45,81.25,1
female,0,0,0,43,1,no,0,0,0,two year,credit card (automatic),71.45,1188.2,0
female,0,0,0,23,1,fiber optic,1,0,0,month-to-month,bank transfer (automatic),71.45,1778.5,0
female,0,1,1,64,1,no,0,0,0,two year,mailed check,71.45,1277.75,0
male,0,0,1,57,1,no,0,0,0,two year,mailed check,71.45,1170.55,0
female,1,1,0,1,1,fiber optic,0,0,0,month-to-month,mailed check,71.45,70.45,1
female,1,1,1,72,1,dsl,1,1,1,two year,credit card (automatic),71.45,6425.65,0
female,0,0,0,8,1,dsl,1,1,0,month-to-month,electronic check,71.45,563.65,1
female,0,1,0,61,1,fiber optic,0,0,1,two year,bank transfer (automatic),71.45,5971.25,0
male,0,0,0,64,1,fiber optic,1,0,0,one year,credit card (automatic),71.45,5289.05,0
male,1,1,0,71,1,no,0,0,0,two year,bank transfer (automatic),71.45,1756.2,0
female,0,1,1,65,1,fiber optic,1,1,1,two year,credit card (automatic),71.45,6416.7,0
male,0,0,0,3,1,no,0,0,0,one year,mailed check,71.45,61.35,0
male,0,0,0,1,1,dsl,0,0,0,month-to-month,electronic check,71.45,45.65,1
male,0,0,1,30,1,dsl,0,0,1,one year,credit card (automatic),71.45,1929.95,0
male,0,1,1,15,1,dsl,0,1,0,month-to-month,mailed check,71.45,1071.4,0
female,0,1,1,8,1,dsl,0,1,1,month-to-month,electronic check,71.45,564.35,0
male,0,0,0,7,1,fiber optic,0,0,1,month-to-month,mailed check,71.45,655.5,1
female,0,1,1,70,1,fiber optic,1,0,1,one year,credit card (automatic),71.45,7930.55,0
male,0,1,1,62,1,dsl,1,1,1,two year,electronic check,71.45,5215.25,0
female,0,1,1,6,1,no,0,0,0,month-to-month,mailed check,71.45,113.5,0
female,0,1,1,14,1,fiber optic,0,0,0,month-to-month,bank transfer (automatic),71.45,1152.8,0
female,0,0,0,22,1,fiber optic,0,0,1,month-to-month,bank transfer (automatic),71.45,1821.95,0
male,0,1,1,22,1,no,0,0,0,one year,mailed check,71.45,419.9,0
male,0,1,1,16,1,dsl,1,0,1,two year,mailed check,71.45,1024.0,0
male,0,0,0,10,1,no,0,0,0,two year,bank transfer (automatic),71.45,251.6,0
female,0,0,1,13,1,dsl,1,0,0,month-to-month,electronic check,71.45,764.55,0
female,0,1,0,20,1,fiber optic,1,0,0,month-to-month,electronic check,71.45,1592.35,1
female,0,0,0,2,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,135.2,0
male,0,0,0,53,1,dsl,0,1,0,two year,bank transfer (automatic),71.45,3958.25,0
female,0,1,1,11,1,no,0,0,0,one year,mailed check,71.45,233.9,0
male,0,1,0,69,1,no,0,0,0,two year,mailed check,71.45,1363.45,0
female,0,0,0,4,1,fiber optic,0,0,0,month-to-month,bank transfer (automatic),71.45,273.0,1
male,0,1,0,72,1,dsl,1,1,1,two year,bank transfer (automatic),71.45,6254.45,0
male,1,1,0,58,1,dsl,0,0,0,month-to-month,electronic check,71.45,2651.2,1
female,0,1,1,16,1,no,0,0,0,month-to-month,electronic check,71.45,321.4,0
male,0,1,0,43,1,fiber optic,1,1,0,one year,bank transfer (automatic),71.45,3539.25,0
female,0,1,0,2,1,fiber optic,0,1,1,month-to-month,electronic check,71.45,242.8,1
male,0,1,0,14,1,dsl,0,1,1,two year,mailed check,71.45,1181.75,0
female,0,1,0,53,1,fiber optic,0,0,1,one year,bank transfer (automatic),71.45,5000.2,1
female,0,0,0,32,1,no,0,0,0,one year,bank transfer (automatic),71.45,654.55,0
female,0,1,0,34,1,no,0,0,0,month-to-month,electronic check,71.45,780.2,0
female,1,0,0,15,1,fiber optic,0,0,0,month-to-month,mailed check,71.45,1145.7,1
female,1,0,0,7,1,fiber optic,1,0,0,month-to-month,bank transfer (automatic),71.45,503.6,1
female,0,1,1,15,1,fiber optic,0,0,1,month-to-month,bank transfer (automatic),71.45,1559.25,0
male,0,1,0,61,1,no,0,0,0,one year,credit card (automatic),71.45,1252.0,0
female,0,0,0,1,1,dsl,0,0,0,month-to-month,bank transfer (automatic),71.45,29.95,1
female,0,0,0,1,1,dsl,0,0,0,month-to-month,mailed check,71.45,45.3,0
male,0,0,0,8,1,fiber optic,0,0,0,month-to-month,bank transfer (automatic),71.45,662.65,1
male,0,1,1,33,1,dsl,1,0,1,one year,credit card (automatic),71.45,2453.3,0
female,0,0,0,13,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,1111.65,1
female,0,1,0,1,1,dsl,0,0,0,month-to-month,electronic check,71.45,24.8,1
male,0,0,0,20,1,dsl,0,0,0,month-to-month,mailed check,71.45,1023.85,0
male,0,0,0,3,1,dsl,0,1,0,month-to-month,electronic check,71.45,82.15,0
female,0,0,0,13,1,no,0,0,0,one year,electronic check,71.45,244.8,0
female,0,1,0,40,1,dsl,0,0,0,month-to-month,credit card (automatic),71.45,2379.1,0
male,0,1,1,43,1,dsl,1,1,0,one year,credit card (automatic),71.45,3173.35,0
male,0,1,0,6,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,531.0,1
female,0,1,1,69,1,no,0,0,0,two year,bank transfer (automatic),71.45,1375.4,0
female,0,1,1,72,1,fiber optic,1,0,1,two year,credit card (automatic),71.45,8129.3,0
male,0,1,1,59,1,no,0,0,0,two year,credit card (automatic),71.45,1192.7,0
female,0,1,0,20,1,fiber optic,1,1,1,month-to-month,electronic check,71.45,1901.65,0
male,0,1,1,24,1,no,0,0,0,two year,bank transfer (automatic),71.45,587.4,0
male,0,0,0,59,1,fiber optic,0,1,1,month-to-month,electronic check,71.45,6519.75,0
male,0,1,1,72,1,fiber optic,0,1,1,two year,bank transfer (automatic),71.45,8041.65,0
male,0,0,1,1,1,no,0,0,0,month-to-month,mailed check,71.45,20.75,0
female,0,1,0,27,1,fiber optic,1,1,1,one year,credit card (automatic),71.45,2681.15,0
female,0,0,0,14,1,fiber optic,0,1,0,month-to-month,credit card (automatic),71.45,1112.3,0
male,0,1,1,71,1,fiber optic,1,0,1,two year,electronic check,71.45,7405.5,0
male,0,0,1,13,1,fiber optic,0,0,1,month-to-month,credit card (automatic),71.45,1033.95,0
male,0,0,0,44,1,fiber optic,0,0,0,month-to-month,credit card (automatic),71.45,2958.95,0
female,0,0,0,33,1,fiber optic,0,1,0,one year,bank transfer (automatic),71.45,2684.85,0
male,0,1,1,72,1,dsl,1,1,0,two year,credit card (automatic),71.45,4179.2,0
male,0,0,0,1,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,79.9,1
female,0,0,0,19,1,fiber optic,1,1,1,month-to-month,electronic check,71.45,1934.45,1
male,0,1,0,64,1,fiber optic,0,1,1,one year,credit card (automatic),71.45,6654.1,0
male,0,0,0,2,1,dsl,0,0,0,month-to-month,credit card (automatic),71.45,84.5,1
female,0,0,0,1,1,dsl,0,0,0,month-to-month,electronic check,71.45,25.25,0
male,0,0,1,61,1,no,0,0,0,two year,mailed check,71.45,1124.2,0
female,0,1,1,29,1,no,0,0,0,one year,electronic check,71.45,540.05,0
male,1,1,0,23,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,1975.85,0
female,0,1,0,57,1,dsl,1,0,1,month-to-month,bank transfer (automatic),71.45,3437.45,0
male,0,1,1,72,1,dsl,1,1,0,two year,credit card (automatic),71.45,3139.8,0
male,0,1,0,66,1,dsl,1,1,1,two year,bank transfer (automatic),71.45,3789.2,0
male,0,1,1,65,1,dsl,0,1,1,two year,bank transfer (automatic),71.45,5324.5,0
female,0,0,0,8,1,fiber optic,0,0,1,month-to-month,bank transfer (automatic),71.45,624.6,0
female,0,0,0,4,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,268.35,1
female,0,1,0,71,1,no,0,0,0,two year,bank transfer (automatic),71.45,1836.9,0
male,0,1,1,1,1,no,0,0,0,one year,electronic check,71.45,20.2,0
male,0,1,0,4,1,dsl,0,1,0,month-to-month,mailed check,71.45,179.35,1
female,0,0,0,12,1,no,0,0,0,one year,bank transfer (automatic),71.45,219.35,0
male,0,0,0,24,1,dsl,1,0,1,one year,mailed check,71.45,1288.75,0
female,0,1,1,31,1,dsl,1,1,1,one year,mailed check,71.45,2545.75,0
female,0,1,0,1,1,dsl,0,0,1,month-to-month,mailed check,71.45,55.2,1
male,0,0,0,30,1,fiber optic,0,1,0,month-to-month,credit card (automatic),71.45,2723.15,0
female,0,1,1,47,1,dsl,1,1,1,two year,credit card (automatic),71.45,4107.25,0
male,0,0,0,54,1,fiber optic,1,1,1,two year,credit card (automatic),71.45,5760.65,0
male,0,0,0,50,1,fiber optic,1,1,0,month-to-month,credit card (automatic),71.45,4747.5,0
male,0,0,0,1,1,fiber optic,1,0,0,month-to-month,mailed check,71.45,84.6,1
female,0,0,0,72,1,no,0,0,0,two year,credit card (automatic),71.45,1566.9,0
female,0,0,0,29,1,no,0,0,0,month-to-month,electronic check,71.45,702.0,0
male,0,0,0,2,1,dsl,0,0,0,month-to-month,mailed check,71.45,114.1,1
female,0,0,0,10,1,dsl,0,1,0,two year,mailed check,71.45,299.05,0
male,0,1,0,18,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,1305.95,0
female,1,0,0,11,1,fiber optic,0,0,1,month-to-month,electronic check,71.45,1120.3,1
male,0,0,0,16,1,no,0,0,0,two year,mailed check,71.45,284.35,0
female,0,0,0,72,1,dsl,0,1,1,two year,bank transfer (automatic),71.45,6350.5,0
male,0,0,0,72,1,fiber optic,0,1,1,two year,bank transfer (automatic),71.45,7878.3,0
female,0,1,1,41,1,dsl,1,1,1,one year,credit card (automatic),71.45,3187.65,0
female,1,1,0,65,1,fiber optic,1,0,0,month-to-month,electronic check,71.45,6126.15,0
female,1,0,0,13,1,dsl,0,0,0,month-to-month,electronic check,71.45,731.3,0
male,1,0,0,4,1,fiber optic,1,0,0,month-to-month,electronic check,71.45,273.4,0
male,0,0,0,41,1,dsl,0,0,0,one year,mailed check,71.45,2531.8,0
male,1,0,0,15,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,1074.3,1
male,0,0,0,1,1,dsl,1,0,0,month-to-month,mailed check,71.45,48.55,1
male,0,0,0,42,1,fiber optic,1,0,0,one year,electronic check,71.45,4298.45,0
female,0,1,0,51,1,fiber optic,1,0,1,one year,electronic check,71.45,4619.55,0
female,0,1,1,2,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,147.15,1
male,1,1,0,1,1,dsl,0,0,1,month-to-month,electronic check,71.45,40.2,1
male,0,0,1,32,1,dsl,0,1,1,one year,credit card (automatic),71.45,2633.3,0
male,0,0,0,10,1,no,0,0,0,month-to-month,mailed check,71.45,193.05,0
female,0,1,1,67,1,dsl,0,1,1,two year,electronic check,71.45,4103.9,0
female,0,1,1,61,1,fiber optic,1,1,1,two year,credit card (automatic),71.45,7008.15,0
male,0,0,0,50,1,fiber optic,1,1,1,one year,credit card (automatic),71.45,5791.1,0
female,0,1,0,2,1,dsl,0,0,0,month-to-month,credit card (automatic),71.45,80.55,1
female,1,1,0,29,1,dsl,1,0,0,month-to-month,electronic check,71.45,1228.65,0
male,1,0,0,3,1,dsl,0,0,0,month-to-month,electronic check,71.45,132.2,1
male,1,0,0,13,1,fiber optic,0,0,1,month-to-month,electronic check,71.45,1364.3,1
male,1,1,0,57,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,4925.35,0
female,0,0,0,31,1,dsl,1,1,0,two year,bank transfer (automatic),71.45,1520.1,0
female,0,1,0,45,1,fiber optic,1,1,1,one year,mailed check,71.45,5032.25,0
female,0,1,1,61,1,dsl,1,1,1,two year,mailed check,71.45,5526.75,0
male,0,0,0,50,1,no,0,0,0,two year,bank transfer (automatic),71.45,1195.25,0
female,1,0,0,19,1,fiber optic,1,1,1,month-to-month,mailed check,71.45,2007.25,0
male,0,0,0,59,1,no,0,0,0,two year,mailed check,71.45,1099.6,1
female,0,1,0,71,1,no,0,0,0,two year,credit card (automatic),71.45,1732.95,0
female,1,0,0,16,1,fiber optic,0,1,1,month-to-month,electronic check,71.45,1511.2,1
male,0,1,0,57,1,dsl,1,1,0,two year,electronic check,71.45,3450.15,0
male,0,0,0,1,1,dsl,0,0,0,month-to-month,bank transfer (automatic),71.45,24.8,1
male,1,1,0,20,1,fiber optic,0,1,1,month-to-month,electronic check,71.45,2172.05,0
male,0,0,0,1,1,fiber optic,0,0,0,month-to-month,mailed check,71.45,70.6,1
male,0,1,0,5,1,fiber optic,0,1,0,month-to-month,electronic check,71.45,401.1,1
female,0,1,0,52,1,fiber optic,0,0,1,month-to-month,electronic check,71.45,5624.85,1
male,1,1,0,21,1,dsl,1,0,0,month-to-month,bank transfer (automatic),71.45,1339.8,0
male,0,0,0,14,1,dsl,0,1,1,month-to-month,electronic check,71.45,771.95,0
female,0,0,0,5,1,dsl,0,0,0,month-to-month,bank transfer (automatic),71.45,244.75,0
female,0,0,0,6,1,dsl,1,0,0,month-to-month,mailed check,71.45,322.9,0
female,0,0,0,10,1,dsl,0,0,0,month-to-month,electronic check,71.45,498.25,0
female,0,0,1,1,1,no,0,0,0,month-to-month,mailed check,71.45,25.4,0
female,0,0,0,68,1,dsl,1,0,0,month-to-month,mailed check,71.45,3687.75,0
male,0,1,1,18,1,fiber optic,0,0,1,month-to-month,mailed check,71.45,1779.95,1
female,0,0,0,22,1,fiber optic,0,0,0,one year,credit card (automatic),71.45,1783.6,0
female,0,0,0,20,1,dsl,0,0,0,month-to-month,electronic check,71.45,927.15,0
male,0,1,0,1,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,70.0,1
male,1,0,0,8,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,606.55,1
male,0,0,0,10,1,dsl,0,0,0,month-to-month,credit card (automatic),71.45,435.4,1
male,1,0,0,24,1,fiber optic,0,0,0,month-to-month,electronic check,71.45,1712.7,1
male,0,0,0,35,1,dsl,1,0,0,one year,mailed check,71.45,2021.2,0
male,0,1,1,23,1,fiber optic,0,1,0,one year,mailed check,71.45,1940.8,0
female,1,0,0,6,1,fiber optic,0,0,1,month-to-month,electronic check,71.45,567.8,0
female,0,0,0,12,1,no,0,0,0,month-to-month,mailed check,71.45,220.35,0
male,0,0,0,1,1,no,0,0,0,month-to-month,mailed check,71.45,20.25,0
female,0,1,1,71,1,fiber optic,0,0,0,two year,electronic check,71.45,5436.45,0
male,1,1,0,35,1,fiber optic,0,0,1,month-to-month,electronic check,71.45,3437.5,0
male,0,1,1,40,1,dsl,0,0,1,month-to-month,electronic check,71.45,3015.75,0
female,0,0,1,1,1,fiber optic,1,0,0,month-to-month,mailed check,71.45,73.6,1
male,0,0,0,23,1,dsl,0,0,1,one year,bank transfer (automatic),64.9,1509.8,0
female,1,0,0,4,1,fiber optic,0,0,1,month-to-month,electronic check,95.45,396.1,1
male,0,0,0,4,1,fiber optic,0,1,0,month-to-month,electronic check,90.4,356.65,0
female,0,1,1,68,1,dsl,0,1,1,two year,credit card (automatic),60.3,4109.0,0
male,0,0,1,38,1,fiber optic,0,0,0,month-to-month,mailed check,81.85,3141.7,0
male,0,1,1,52,1,no,0,0,0,two year,mailed check,24.8,1229.1,0
male,1,1,0,32,1,fiber optic,0,0,0,month-to-month,electronic check,74.9,2303.35,1
male,0,1,1,29,1,dsl,0,1,1,two year,mailed check,75.55,2054.4,0
male,1,1,1,38,1,fiber optic,0,0,1,month-to-month,electronic check,101.15,3741.85,0
male,0,0,1,48,1,dsl,1,0,1,one year,credit card (automatic),78.75,3682.45,0
female,0,0,0,1,1,no,0,0,0,month-to-month,bank transfer (automatic),19.25,19.25,0
female,0,0,0,22,1,fiber optic,1,1,0,month-to-month,electronic check,89.05,1886.25,0
female,0,0,0,43,1,fiber optic,1,1,1,two year,credit card (automatic),115.05,4895.1,0
female,1,1,0,5,1,fiber optic,0,0,0,month-to-month,electronic check,69.35,341.6,0
male,0,0,0,5,1,fiber optic,0,0,1,month-to-month,electronic check,80.6,415.55,1
male,0,1,1,51,1,fiber optic,1,1,1,one year,credit card (automatic),110.05,5686.4,0
male,0,0,0,71,1,no,0,0,0,two year,credit card (automatic),19.9,1355.1,0
female,0,1,1,38,1,dsl,1,1,1,one year,credit card (automatic),80.3,3058.65,1
male,1,1,0,24,1,fiber optic,0,0,1,month-to-month,electronic check,93.15,2231.05,1
male,0,1,0,35,1,fiber optic,0,1,1,month-to-month,credit card (automatic),91.5,3236.35,0
female,1,0,0,54,1,dsl,1,1,1,one year,bank transfer (automatic),82.45,4350.1,1
